MolWeight,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumHeavyAtoms,FractionCSP3,NumAromaticRings,fl_int
-1.963084509479834,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-1.6712580435934667,-1.5714285714285714,-1.8402944706748472,0.7110866270175142,-1.3333333333333335,-0.22707713650754416
-1.6980024396426918,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-1.5714285714285714,-1.6002560614563888,1.2534708928998586,-1.3333333333333335,-0.1076390506811343
-1.4329203698055497,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-1.5714285714285714,-1.3602176522379306,1.72805712554691,-1.3333333333333335,-0.4388082886543616
-1.1678382999684087,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-1.6712580435934667,-1.5714285714285714,-1.1201792430194724,2.146809683764896,-1.3333333333333335,-0.4388082886543616
-0.41069043313836096,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-0.14285714285714296,-0.4000640153640974,3.1518158234880636,-1.3333333333333335,-0.15650008579193833
-0.5249854611824923,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,0.18569533817705203,-0.14285714285714296,-0.4000640153640974,-0.26520505157070523,0.33333333333333326,-0.6727983567961009
0.04244550972575758,0.3068777124303811,-0.4472135954999582,0.9206016138255996,1.1141720290623114,-0.14285714285714296,0.08001280307281915,0.16870236113516995,0.33333333333333326,-0.6814847630380216
-0.7900675310196345,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-0.14285714285714296,-0.6401024245825557,-0.7447869287719362,0.33333333333333326,0.011799035145275557
-0.5249854611824923,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-0.14285714285714296,-0.4000640153640974,-0.26520505157070523,0.33333333333333326,1.40162403385259
-0.22263656011138452,0.3068777124303811,-0.4472135954999582,0.9206016138255996,0.18569533817705203,-0.14285714285714296,-0.16002560614563915,-0.26520505157070523,0.33333333333333326,2.112823544909849
0.49493892101687575,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-0.14285714285714296,0.3200512122912774,-0.26520505157070523,0.33333333333333326,1.559065146987403
0.7972878220879825,0.3068777124303811,-0.4472135954999582,0.9206016138255996,0.18569533817705203,-0.14285714285714296,0.5600896215097357,-0.26520505157070523,0.33333333333333326,1.873947373257029
0.02384989008365614,-0.30838419679353113,-0.4472135954999582,0.9206016138255996,0.18569533817705203,-0.14285714285714296,0.08001280307281915,0.16870236113516995,0.33333333333333326,-0.7146016868353444
0.30798113126148646,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,0.18569533817705203,-0.14285714285714296,0.3200512122912774,0.5631636454132385,0.33333333333333326,3.22034034075474
0.27026074832893177,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-0.14285714285714296,0.3200512122912774,0.9233239484497363,0.33333333333333326,-0.38451824964235715
-0.7900675310196345,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,-0.7427813527082073,-0.14285714285714296,-0.6401024245825557,-0.7447869287719362,0.33333333333333326,0.7501435657085365
-1.0395398632303796,-1.5892382882830425,-0.4472135954999582,-2.3285805526176944,-2.599734734478726,-1.5714285714285714,-2.0803328798933056,0.0852586279225019,-1.3333333333333335,0.00094102734287466
-0.25990339134535023,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,1.1141720290623114,-0.14285714285714296,-0.16002560614563915,0.16870236113516995,0.33333333333333326,-0.746632809852427
-0.29800173402672775,-0.6411802879263307,-0.4472135954999582,-0.7039894693960475,0.18569533817705203,-0.14285714285714296,-0.16002560614563915,-0.9160661706295186,0.33333333333333326,-0.7162303880057045
-0.27933052243486234,0.6828140375989141,-0.4472135954999582,0.9206016138255996,0.18569533817705203,-0.14285714285714296,-0.16002560614563915,-0.8347085307471669,0.33333333333333326,-0.7379464036105063
