time /s,extinction
0,1.48737
30,1.43985
60,1.38445
90,1.31833
120,1.24402
150,1.16521
180,1.0858
210,1.00841
240,0.933092
270,0.86224
300,0.79469
330,0.731645
360,0.672632
390,0.617297
420,0.565723
450,0.517951
480,0.473535
510,0.43242
540,0.39424
570,0.359022
600,0.32682
630,0.29732
660,0.269839
690,0.244773
720,0.221807
750,0.200858
780,0.181708
810,0.164096
840,0.148128
870,0.133602
900,0.120158
