# time / s  absorbance
    0.0000    1.41183
   30.0000    1.33568
   60.0000    1.24941
   90.0000    1.15777
  120.0000    1.06632
  150.0000    0.978470
  180.0000    0.895816
  210.0000    0.819292
  240.0000    0.748854
  270.0000    0.682881
  300.0000    0.622500
  330.0000    0.566930
  360.0000    0.515607
  390.0000    0.468324
  420.0000    0.424597
  450.0000    0.385999
  480.0000    0.349217
  510.0000    0.316233
  540.0000    0.287044
  570.0000    0.259434
  600.0000    0.234858
  630.0000    0.212649
  660.0000    0.192601
  690.0000    0.174369
  720.0000    0.157263
  750.0000    0.142296
  780.0000    0.127977
  810.0000    0.115253
  840.0000    0.103866
  870.0000    0.093348
  900.0000    0.083638
