time /s,extinction
0,1.46488
10,1.40408
20,1.32283
30,1.22888
40,1.13235
50,1.04543
60,0.965129
70,0.884892
80,0.812895
90,0.746842
100,0.684101
110,0.627362
120,0.576787
130,0.528497
140,0.483511
150,0.442249
160,0.40589
170,0.372252
180,0.339784
190,0.310674
200,0.284459
210,0.260228
220,0.237679
230,0.216831
240,0.197922
250,0.181194
260,0.165451
270,0.150994
280,0.137693
290,0.125446
300,0.114524
