Electrolyte,T_Celsius,c_mol_kg,kappa
NaF,5.0,0.4176,19.17
NaF,10.0,0.4176,22.01
NaF,25.0,0.4176,31.51
NaF,35.0,0.4176,38.24
NaF,45.0,0.4176,45.47
NaF,70.0,0.4176,65.70
NaF,90.0,0.4176,81.37
NaF,5.0,0.8404,34.32
NaF,10.0,0.8404,39.15
NaF,25.0,0.8404,55.79
NaF,35.0,0.8404,67.91
NaF,45.0,0.8404,74.78
NaF,70.0,0.8404,113.7
NaF,90.0,0.8404,145.4
KF,5.0,0.000325,0.02576
KF,10.0,0.000325,0.02933
KF,25.0,0.000325,0.04125
KF,35.0,0.000325,0.05036
KF,45.0,0.000325,0.05965
KF,70.0,0.000325,0.08448
KF,90.0,0.000325,0.1046
KF,5.0,0.00109,0.08262
KF,10.0,0.00109,0.09509
KF,25.0,0.00109,0.1357
KF,35.0,0.00109,0.1642
KF,45.0,0.00109,0.1929
KF,70.0,0.00109,0.2734
KF,90.0,0.00109,0.3426
KF,5.0,0.03500,2.417
KF,10.0,0.03500,2.829
KF,25.0,0.03500,3.939
KF,35.0,0.03500,4.778
KF,45.0,0.03500,5.576
KF,70.0,0.03500,7.954
KF,90.0,0.03500,9.964
KF,5.0,0.1100,7.375
KF,10.0,0.1100,8.455
KF,25.0,0.1100,11.95
KF,35.0,0.1100,14.45
KF,45.0,0.1100,16.92
KF,70.0,0.1100,24.09
KF,90.0,0.1100,30.04
KF,5.0,0.5200,30.23
KF,10.0,0.5200,34.35
KF,25.0,0.5200,48.04
KF,35.0,0.5200,57.71
KF,45.0,0.5200,68.01
KF,70.0,0.5200,96.83
KF,90.0,0.5200,118.6
KF,5.0,0.9900,52.72
KF,10.0,0.9900,60.34
KF,25.0,0.9900,82.75
KF,35.0,0.9900,99.07
KF,45.0,0.9900,117.5
KF,70.0,0.9900,168.5
KF,90.0,0.9900,201.3
KBr,5.0,0.000099,0.009344
KBr,10.0,0.000099,0.01066
KBr,25.0,0.000099,0.01469
KBr,35.0,0.000099,0.0175
KBr,45.0,0.000099,0.02072
KBr,70.0,0.000099,0.02896
KBr,90.0,0.000099,0.03522
KBr,5.0,0.000975,0.09114
KBr,10.0,0.000975,0.1037
KBr,25.0,0.000975,0.1441
KBr,35.0,0.000975,0.1716
KBr,45.0,0.000975,0.2007
KBr,70.0,0.000975,0.2802
KBr,90.0,0.000975,0.3430
KBr,5.0,0.00987,0.8994
KBr,10.0,0.00987,1.022
KBr,25.0,0.00987,1.417
KBr,35.0,0.00987,1.689
KBr,45.0,0.00987,1.974
KBr,70.0,0.00987,2.761
KBr,90.0,0.00987,3.376
KBr,5.0,0.09755,8.252
KBr,10.0,0.09755,9.355
KBr,25.0,0.09755,12.90
KBr,35.0,0.09755,15.35
KBr,45.0,0.09755,17.87
KBr,70.0,0.09755,24.91
KBr,90.0,0.09755,29.52
KBr,5.0,1.210,84.09
KBr,10.0,1.210,93.63
KBr,25.0,1.210,124.5
KBr,35.0,1.210,145.4
KBr,45.0,1.210,167.2
KBr,70.0,1.210,224.6
KBr,90.0,1.210,262.8
KNO3,5.0,0.000103,0.009389
KNO3,10.0,0.000103,0.01073
KNO3,25.0,0.000103,0.01486
KNO3,35.0,0.000103,0.01798
KNO3,45.0,0.000103,0.02048
KNO3,70.0,0.000103,0.0283
KNO3,90.0,0.000103,0.03480
KNO3,5.0,0.000997,0.08901
KNO3,10.0,0.000997,0.1015
KNO3,25.0,0.000997,0.1411
KNO3,35.0,0.000997,0.1701
KNO3,45.0,0.000997,0.1956
KNO3,70.0,0.000997,0.2717
KNO3,90.0,0.000997,0.3380
KNO3,5.0,0.01026,0.8740
KNO3,10.0,0.01026,0.9971
KNO3,25.0,0.01026,1.385
KNO3,35.0,0.01026,1.664
KNO3,45.0,0.01026,1.919
KNO3,70.0,0.01026,2.666
KNO3,90.0,0.01026,3.287
KNO3,5.0,0.09972,7.601
KNO3,10.0,0.09972,8.658
KNO3,25.0,0.09972,12.01
KNO3,35.0,0.09972,14.40
KNO3,45.0,0.09972,16.69
KNO3,70.0,0.09972,23.42
KNO3,90.0,0.09972,28.75
KNO3,5.0,0.4093,28.15
KNO3,10.0,0.4093,32.11
KNO3,25.0,0.4093,44.07
KNO3,35.0,0.4093,52.64
KNO3,45.0,0.4093,61.62
KNO3,70.0,0.4093,85.90
KNO3,90.0,0.4093,104.5
KNO3,5.0,0.7941,48.06
KNO3,10.0,0.7941,54.74
KNO3,25.0,0.7941,74.28
KNO3,35.0,0.7941,88.31
KNO3,45.0,0.7941,103.8
KNO3,70.0,0.7941,146.3
KNO3,90.0,0.7941,169.7
Zn(NO3)2,5.0,0.000087,0.01368
Zn(NO3)2,10.0,0.000087,0.01579
Zn(NO3)2,25.0,0.000087,0.02248
Zn(NO3)2,35.0,0.000087,0.02744
Zn(NO3)2,45.0,0.000087,0.03188
Zn(NO3)2,70.0,0.000087,0.04549
Zn(NO3)2,90.0,0.000087,0.05750
Zn(NO3)2,5.0,0.00127,0.1814
Zn(NO3)2,10.0,0.00127,0.2081
Zn(NO3)2,25.0,0.00127,0.2942
Zn(NO3)2,35.0,0.00127,0.3606
Zn(NO3)2,45.0,0.00127,0.4205
Zn(NO3)2,70.0,0.00127,0.6014
Zn(NO3)2,90.0,0.00127,0.7615
Zn(NO3)2,5.0,0.00874,1.162
Zn(NO3)2,10.0,0.00874,1.334
Zn(NO3)2,25.0,0.00874,1.891
Zn(NO3)2,35.0,0.00874,2.299
Zn(NO3)2,45.0,0.00874,2.687
Zn(NO3)2,70.0,0.00874,3.830
Zn(NO3)2,90.0,0.00874,4.824
Zn(NO3)2,5.0,0.1275,13.91
Zn(NO3)2,10.0,0.1275,15.92
Zn(NO3)2,25.0,0.1275,22.17
Zn(NO3)2,35.0,0.1275,26.58
Zn(NO3)2,45.0,0.1275,31.18
Zn(NO3)2,70.0,0.1275,44.02
Zn(NO3)2,90.0,0.1275,54.42
Zn(NO3)2,5.0,0.3325,31.11
Zn(NO3)2,10.0,0.3325,36.53
Zn(NO3)2,25.0,0.3325,49.31
Zn(NO3)2,35.0,0.3325,59.06
Zn(NO3)2,45.0,0.3325,69.86
Zn(NO3)2,70.0,0.3325,99.37
Zn(NO3)2,90.0,0.3325,118.3
