PC1,PC2,lambda_abs_continuous,lambda_abs_class
0.05145613695943377,-1.7993520855409844,400.0,0
0.7790204304953611,-1.7740902353119004,400.0,0
0.7005894242879329,-1.483248929868169,400.0,0
0.8046820941182828,-1.4448438303599496,400.0,0
0.6912135369566237,-1.5818220901856417,400.0,0
0.6262822688791376,-1.8796402465367736,400.0,0
1.178594367716171,-1.8793634895899758,400.0,0
1.3897178439016606,0.1856335072314487,410.0,0
1.6214586685427406,0.9811863398860428,410.0,0
2.0295330769088045,0.4462112228491683,410.0,0
2.070441046830265,0.5861018119913417,413.0,0
2.2086426052722175,0.5556630574485684,413.0,0
1.8779880120568595,0.5449130501049909,413.0,0
1.8245601645131952,1.0209454213596192,413.0,0
2.0024480346930824,0.5350854961918468,410.0,0
2.292216098786605,0.49039334985708166,397.0,0
0.08437147714151207,-2.005947921494283,386.0,0
-0.9777572988221062,-1.714379132102309,400.0,0
-2.3971587913994177,-0.7039657778952466,462.0,1
-2.7037815335512483,-0.4516897370249125,467.0,1
-2.650226315359344,-0.42164347166466576,465.0,1
-2.6699098713026936,-0.5610275821829908,463.0,1
-2.9094401914600514,-0.3966043408607065,469.0,1
-1.1152845166483438,2.4048688732506047,464.0,1
-1.0617292984564397,2.434915138610852,467.0,1
-1.2588967293851319,2.3609505059449005,416.0,1
-1.292763943909755,2.628370709525764,478.0,1
-2.5812134850013964,-1.0622235443201133,460.0,1
-0.8054229724585193,2.172122080916866,465.0,1
0.19036965969456263,1.8124818497695225,456.0,1
